customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
3170-NMYVV,0,0,0,0,50,0,0,2,0,0,0,0,0,0,2,0,0,20.15,1007.4999999999999,0
7410-OIEDU,1,0,0,0,10,0,0,1,1,0,1,0,0,0,0,1,3,79.85,798.5,0
2273-QCKXA,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,49.05,49.05,0
0731-EBJQB,0,0,0,0,52,0,0,2,0,0,0,0,0,0,1,1,2,20.4,1060.8,0
1891-QRQSA,1,1,0,0,64,0,1,1,1,0,1,1,1,1,2,1,0,111.6,7142.4,0
8028-PNXHQ,1,0,0,0,62,0,1,2,0,0,0,0,0,0,2,1,0,24.25,1503.5,0
5630-AHZIL,0,0,0,0,3,0,0,0,1,0,0,1,0,1,0,1,0,64.5,193.5,0
2673-CXQEU,0,1,0,0,56,0,1,1,1,1,1,0,1,1,1,0,2,110.5,6188.0,0
6416-JNVRK,0,0,0,0,46,0,0,0,0,0,0,0,0,1,1,0,1,55.65,2559.9,0
5590-ZSKRV,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,3,54.65,437.2,0
0191-ZHSKZ,1,1,0,0,30,0,0,0,1,1,0,0,1,1,0,1,2,74.75,2242.5,0
3887-PBQAO,0,0,0,0,45,0,1,2,0,0,0,0,0,0,1,1,1,25.9,1165.5,0
5919-TMRGD,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,79.35,79.35,1
8108-UXRQN,0,0,0,0,11,0,0,0,1,0,0,0,1,1,0,0,2,50.55,556.05,0
9191-MYQKX,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,1,0,75.15,526.0500000000001,1
9919-YLNNG,0,0,0,0,42,0,0,1,0,1,1,1,1,1,0,1,0,103.8,4359.599999999999,0
0318-ZOPWS,0,0,0,0,49,0,0,2,0,0,0,0,0,0,2,1,0,20.15,987.3499999999999,0
4445-ZJNMU,1,0,0,0,9,0,1,1,0,1,0,0,1,1,0,1,1,99.3,893.6999999999999,0
4808-YNLEU,0,0,0,0,35,0,0,0,1,0,0,0,1,0,1,1,0,62.15,2175.25,0
1862-QRWPE,0,0,0,0,48,0,0,2,0,0,0,0,0,0,2,0,0,20.65,991.1999999999999,0
2796-NNUFI,0,0,0,0,46,0,0,2,0,0,0,0,0,0,2,1,3,19.95,917.6999999999999,0
3016-KSVCP,1,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,3,33.75,978.75,0
4767-HZZHQ,1,0,0,0,30,0,0,1,0,1,1,0,0,0,0,0,0,82.05,2461.5,0
2424-WVHPL,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,2,74.7,74.7,0
7233-PAHHL,1,0,0,0,66,0,1,0,1,0,1,1,1,1,2,1,3,84.0,5544.0,0
6067-NGCEU,0,0,0,0,65,0,1,1,1,1,1,0,1,1,0,1,1,111.05,7218.25,0
9848-JQJTX,1,0,0,0,72,0,1,1,0,1,1,0,1,1,2,1,0,100.9,7264.8,0
8637-XJIVR,0,0,0,0,12,0,1,1,1,0,0,0,0,0,0,1,2,78.95,947.4000000000001,1
9803-FTJCG,1,0,0,0,71,0,1,0,1,1,0,1,0,0,1,1,1,66.85,4746.349999999999,0
0278-YXOOG,1,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,3,21.05,105.25,1
3212-KXOCR,1,0,0,0,52,0,0,2,0,0,0,0,0,0,2,0,0,21.0,1092.0,0
4598-XLKNJ,0,1,0,0,25,0,0,1,0,1,1,0,1,1,0,1,2,98.5,2462.5,1
6380-ARCEH,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,20.2,20.2,0
3679-XASPY,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,19.45,19.45,0
7123-WQUHX,1,0,0,0,38,0,1,1,0,0,1,1,1,0,1,0,0,95.0,3610.0,0
5386-THSLQ,0,1,0,0,66,0,0,0,0,1,1,0,1,0,1,0,0,45.55,3006.2999999999997,0
3192-NQECA,1,0,0,0,68,0,1,1,0,1,1,1,1,1,2,1,0,110.0,7480.0,1
6180-YBIQI,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,24.3,121.5,0
6728-DKUCO,0,0,0,0,72,0,1,1,1,1,0,0,1,1,1,1,2,104.15,7498.8,0
9750-BOOHV,0,0,0,0,32,0,0,0,1,0,0,0,0,0,1,0,3,30.15,964.8,0
8597-CWYHH,1,0,0,0,43,0,1,1,0,0,0,0,1,1,1,0,3,94.35,4057.0499999999997,0
2848-YXSMW,1,0,0,0,72,0,0,2,0,0,0,0,0,0,2,0,1,19.4,1396.8,0
0486-HECZI,1,0,0,0,55,0,1,1,1,1,0,0,1,0,0,1,2,96.75,5321.25,1
4549-ZDQYY,0,0,0,0,52,0,0,0,1,0,1,1,0,0,1,0,1,57.95,3013.4,0
5712-AHQNN,0,0,0,0,43,0,0,1,0,1,1,0,1,0,0,1,2,91.65,3940.9500000000003,0
4846-WHAFZ,0,1,0,0,37,0,1,1,0,0,0,0,0,0,0,1,2,76.5,2830.5,1
5256-SKJGO,0,0,0,0,64,0,0,0,0,1,0,1,1,1,2,1,2,54.6,3494.4,0
3071-VBYPO,1,0,0,0,3,0,0,1,1,1,0,0,1,0,0,0,2,89.85,269.54999999999995,0
9560-BBZXK,0,0,0,0,36,0,0,0,1,0,0,0,0,0,2,0,0,31.05,1117.8,0
5299-RULOA,0,0,0,0,10,0,1,1,1,0,0,0,1,1,0,1,2,100.25,1002.5,1
8402-OOOHJ,0,0,0,0,41,0,0,2,0,0,0,0,0,0,2,0,3,20.65,846.65,0
9445-ZUEQE,1,0,0,0,27,0,1,1,0,1,0,1,0,0,0,1,1,85.2,2300.4,0
1091-SOZGA,0,0,0,0,56,0,1,1,0,0,1,0,1,1,1,1,1,99.8,5588.8,0
2928-HLDBA,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,3,20.7,124.19999999999999,0
0404-SWRVG,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,2,74.4,223.20000000000002,1
6497-TILVL,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,3,50.7,354.90000000000003,0
7219-TLZHO,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,3,20.85,83.4,0
4622-YNKIJ,1,0,0,0,33,0,0,1,1,0,0,1,1,0,2,1,2,88.95,2935.35,0
4412-YLTKF,0,1,0,0,27,0,1,1,0,0,1,0,0,0,0,1,2,78.05,2107.35,1
6734-PSBAW,1,0,0,0,72,0,1,2,0,0,0,0,0,0,2,1,0,23.55,1695.6000000000001,0
3930-ZGWVE,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,19.75,19.75,0
2639-UGMAZ,1,1,0,0,71,0,0,0,1,1,0,0,1,1,1,1,2,56.45,4007.9500000000003,0
2876-GZYZC,0,0,0,0,13,0,1,1,0,0,0,0,0,1,0,1,2,85.95,1117.3500000000001,0
6207-WIOLX,0,0,0,0,25,0,0,0,1,1,1,0,1,1,0,1,1,58.6,1465.0,1
8587-XYZSF,1,0,0,0,67,0,0,0,0,0,0,1,0,0,2,0,0,50.55,3386.85,0
3091-FYHKI,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,35.45,35.45,1
2372-HWUHI,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,44.35,88.7,1
7799-LGRDP,0,0,0,0,43,0,1,2,0,0,0,0,0,0,2,1,1,25.7,1105.1,0
7850-VWJUU,0,0,0,0,23,0,0,1,1,0,0,0,0,0,0,1,0,75.0,1725.0,0
3774-VBNXY,0,0,0,0,64,0,0,2,0,0,0,0,0,0,2,0,3,20.2,1292.8,0
6217-KDYWC,1,0,0,0,57,0,0,2,0,0,0,0,0,0,2,1,3,19.6,1117.2,0
0390-DCFDQ,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,3,70.45,70.45,1
3146-MSEGF,0,1,0,0,72,0,1,0,1,1,1,1,1,1,2,1,1,88.05,6339.599999999999,0
4080-OGPJL,0,0,0,0,8,0,1,0,1,0,0,1,0,1,0,0,2,71.15,569.2,1
1095-WGNGG,0,0,0,0,61,0,1,1,0,1,0,0,1,1,2,1,0,101.05,6164.05,0
2636-SJDOU,1,0,0,0,64,0,1,1,1,1,0,0,0,0,1,1,1,84.3,5395.2,0
1131-QQZEB,1,1,0,0,71,0,1,2,0,0,0,0,0,0,2,0,0,23.95,1700.45,0
5716-EZXZN,0,0,0,0,65,0,1,1,1,1,0,1,1,0,2,1,1,99.05,6438.25,0
6837-BJYDQ,1,0,0,0,3,0,0,2,0,0,0,0,0,0,1,0,3,19.6,58.800000000000004,0
2135-RXIHG,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,45.65,45.65,1
6440-DKQGE,1,0,0,0,30,0,0,0,0,1,1,0,1,0,1,0,1,64.5,1935.0,0
3466-BYAVD,1,0,0,0,15,0,0,0,0,1,1,1,0,1,0,1,3,69.5,1042.5,0
3780-YVMFA,0,0,0,0,8,0,0,0,0,0,0,1,1,1,0,1,2,68.55,548.4,0
3874-EQOEP,1,0,0,0,7,0,1,1,0,0,0,0,1,1,0,0,3,95.0,665.0,1
1679-JRFBR,0,0,0,0,70,0,1,1,1,1,1,0,1,1,1,1,1,108.15,7570.5,0
9073-ZZIAY,1,0,0,0,62,0,0,0,1,1,1,1,1,1,2,0,2,86.1,5338.2,0
3077-RSNTJ,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,3,19.7,118.19999999999999,0
6551-GNYDG,0,0,0,0,14,0,0,1,0,0,0,0,0,1,0,1,0,80.9,1132.6000000000001,0
9167-APMXZ,0,0,0,0,22,0,1,1,0,0,0,0,1,0,0,1,0,84.15,1851.3000000000002,0
2749-CTKAJ,1,0,0,0,22,0,0,2,0,0,0,0,0,0,1,0,3,20.15,443.29999999999995,0
6371-NZYEG,1,0,0,0,16,0,0,0,1,0,1,0,1,0,2,0,3,64.25,1028.0,0
7554-NEWDD,1,0,0,0,10,0,1,2,0,0,0,0,0,0,2,0,0,25.7,257.0,0
8992-VONJD,0,0,0,0,13,0,0,0,1,1,0,0,0,0,0,1,2,56.0,728.0,0
0867-MKZVY,0,0,0,0,20,0,1,1,1,0,0,0,0,0,0,0,2,82.4,1648.0,1
4482-EWFMI,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,2,69.7,139.4,0
4648-YPBTM,1,0,0,0,53,0,1,0,0,1,1,1,0,1,2,1,0,73.9,3916.7000000000003,0
2907-ILJBN,0,0,0,0,11,0,0,2,0,0,0,0,0,0,1,0,3,20.6,226.60000000000002,0
6345-FZOQH,1,0,0,0,69,0,0,2,0,0,0,0,0,0,2,0,3,19.9,1373.1,0
3376-BMGFE,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,70.9,283.6,1
5997-OPVFA,1,0,0,0,72,0,1,0,1,1,1,1,1,1,2,1,0,89.05,6411.599999999999,0
3445-HXXGF,1,1,0,0,58,0,0,0,0,1,1,0,0,1,0,1,2,45.3,2627.3999999999996,1
1159-WFSGR,0,0,0,0,16,0,0,2,0,0,0,0,0,0,0,0,2,20.4,326.4,0
7654-YWJUF,1,0,0,0,43,0,0,1,1,0,1,1,0,0,1,1,0,84.25,3622.75,0
1875-QIVME,0,0,0,0,2,0,1,1,0,0,1,1,1,1,0,1,2,104.4,208.8,1
6727-IOTLZ,1,0,0,0,14,0,0,0,0,1,1,1,1,1,2,0,3,81.95,1147.3,0
0691-JVSYA,0,0,0,0,53,0,0,1,0,0,1,0,1,1,1,1,0,94.85,5027.049999999999,1
5918-VUKWP,0,0,0,0,32,0,0,2,0,0,0,0,0,0,1,0,0,20.55,657.6,0
1744-JHKYS,0,0,0,0,34,0,1,2,0,0,0,0,0,0,0,0,2,24.7,839.8,0
2656-FMOKZ,0,1,0,0,15,0,1,1,0,0,0,0,0,0,0,1,3,74.45,1116.75,1
2070-FNEXE,0,1,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,76.45,535.15,1
5947-SGKCL,0,0,0,0,15,0,1,1,0,1,1,0,1,1,0,1,0,105.35,1580.25,0
3712-PKXZA,1,0,0,0,61,0,0,2,0,0,0,0,0,0,1,1,1,20.55,1253.55,0
6317-YPKDH,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,29.95,29.95,1
6582-OIVSP,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,45.3,45.3,0
9367-WXLCH,1,0,0,0,8,0,1,1,0,0,0,0,0,1,0,0,0,84.5,676.0,1
5524-KHNJP,1,0,0,0,33,0,0,0,1,0,1,0,1,1,1,0,1,74.75,2466.75,0
1918-ZBFQJ,0,0,0,0,13,0,0,1,0,1,1,0,0,0,0,1,2,79.25,1030.25,1
1024-GUALD,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,24.8,24.8,1
4827-USJHP,1,0,0,0,20,0,0,0,0,1,0,0,0,0,0,1,3,51.8,1036.0,0
8167-GJLRN,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,30.4,91.19999999999999,0
0956-SYCWG,0,0,0,0,13,0,0,2,0,0,0,0,0,0,1,0,2,19.65,255.45,0
8017-UVSZU,0,0,0,0,40,0,1,0,0,1,0,0,0,0,0,0,1,56.6,2264.0,0
7100-FQPRV,1,0,0,0,43,0,1,0,1,0,0,1,0,1,1,1,1,71.9,3091.7000000000003,0
2472-OVKUP,1,0,0,0,6,0,0,1,0,1,1,0,0,1,0,1,2,91.0,546.0,1
2984-RGEYA,0,0,0,0,69,0,0,2,0,0,0,0,0,0,2,0,0,19.75,1362.75,0
9680-NIAUV,0,0,0,0,72,0,1,1,1,1,1,0,1,1,2,0,1,109.7,7898.400000000001,0
2146-EGVDT,1,0,0,0,59,0,0,2,0,0,0,0,0,0,2,0,1,19.3,1138.7,0
2604-IJPDU,0,0,0,0,20,0,0,1,1,1,0,1,1,0,0,1,2,96.55,1931.0,0
9178-JHUVJ,1,0,0,0,24,0,1,2,0,0,0,0,0,0,2,1,0,24.1,578.4000000000001,0
6168-YBYNP,1,0,0,0,59,0,1,1,0,1,1,1,1,1,0,1,2,111.35,6569.65,0
7255-SSFBC,1,0,0,0,72,0,1,1,0,1,1,1,1,1,2,1,0,112.25,8082.0,0
3645-DEYGF,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,20.75,20.75,0
9323-HGFWY,0,0,0,0,27,0,0,1,1,0,0,1,1,1,1,1,1,101.9,2751.3,0
8544-GOQSH,0,0,0,0,14,0,0,1,0,1,0,1,0,0,0,1,1,80.05,1120.7,0
3363-DTIVD,1,0,0,0,71,0,1,1,1,0,1,0,1,1,2,0,2,105.55,7494.05,0
7018-WBJNK,1,0,0,0,13,0,0,1,0,0,0,0,1,0,0,1,1,78.3,1017.9,0
9142-KZXOP,1,0,0,0,44,0,0,1,0,0,0,0,0,0,0,0,1,68.85,3029.3999999999996,0
7674-YTAFD,0,0,0,0,33,0,0,1,0,1,0,1,0,0,1,1,0,79.95,2638.35,0
6348-SNFUS,1,0,0,0,72,0,0,0,1,1,1,1,0,1,2,1,1,55.45,3992.4,0
1285-OKIPP,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,79.9,79.9,1
7825-ECJRF,0,0,0,0,19,0,0,1,1,0,1,1,1,1,0,1,2,106.6,2025.3999999999999,1
1347-KTTTA,1,0,0,0,64,0,0,1,0,1,1,1,1,1,1,1,1,102.45,6556.8,0
7841-TZDMQ,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,46.0,92.0,1
4195-NZGTA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25.25,25.25,0
7157-SMCFK,1,0,0,0,61,0,0,2,0,0,0,0,0,0,2,0,3,19.75,1204.75,0
4709-LKHYG,0,0,0,0,29,0,0,2,0,0,0,0,0,0,1,0,2,20.0,580.0,0
2504-DSHIH,1,1,0,0,23,0,1,1,0,0,0,0,0,1,0,0,2,86.8,1996.3999999999999,0
0699-NDKJM,0,0,0,0,57,0,0,0,1,1,1,0,1,1,0,1,0,58.75,3348.75,0
9286-BHDQG,1,0,0,0,72,0,0,0,1,1,1,1,0,0,2,0,1,45.25,3258.0,0
0230-WEQUW,1,0,0,0,66,0,0,0,1,1,1,1,1,0,2,1,0,56.6,3735.6,0
2040-LDIWQ,1,0,0,0,65,0,1,0,0,1,1,1,1,1,2,1,0,84.2,5473.0,0
6496-JDSSB,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,1,0,80.0,640.0,0
9408-SSNVZ,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,2,70.15,280.6,1
4443-EMBNA,0,0,0,0,71,0,1,2,0,0,0,0,0,0,2,0,0,24.75,1757.25,0
6469-MRVET,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,1,2,20.2,20.2,0
0742-MOABM,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,3,50.05,200.2,1
5961-VUSRV,0,0,0,0,12,0,0,2,0,0,0,0,0,0,1,1,0,19.35,232.20000000000002,0
6778-JFCMK,1,0,0,0,24,0,0,0,1,0,0,0,1,1,1,1,3,50.6,1214.4,0
6341-JVQGF,0,0,0,0,31,0,0,0,1,0,1,1,1,1,1,1,3,81.15,2515.65,0
2232-DMLXU,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3,55.2,55.2,1
4811-JBUVU,1,0,0,0,30,0,1,1,0,0,0,1,0,1,0,1,1,89.9,2697.0,0
0945-TSONX,0,0,0,0,47,0,1,0,1,1,0,1,1,1,2,1,1,85.3,4009.1,0
2651-ZCBXV,1,0,0,0,54,0,1,1,1,1,0,1,1,1,2,1,1,108.0,5832.0,0
3316-UWXUY,1,0,0,0,50,0,0,1,1,1,0,1,0,1,0,1,1,93.5,4675.0,0
8937-RDTHP,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,3,84.6,84.6,1
7083-MIOPC,0,0,0,0,72,0,0,2,0,0,0,0,0,0,2,0,1,20.25,1458.0,0
1984-GPTEH,0,0,0,0,29,0,1,2,0,0,0,0,0,0,0,0,2,25.15,729.3499999999999,0
1251-KRREG,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,3,54.4,108.8,1
0621-JFHOL,0,0,0,0,10,0,0,0,0,0,0,1,0,0,2,1,3,29.6,296.0,0
9903-LYSAB,1,0,0,0,18,0,1,1,0,0,0,0,0,0,0,1,2,73.15,1316.7,0
0094-OIFMO,0,1,0,0,11,0,0,1,0,1,0,0,1,1,0,1,2,95.0,1045.0,1
9227-UAQFT,1,0,0,0,16,0,0,2,0,0,0,0,0,0,2,0,3,19.75,316.0,0
7301-ABVAD,0,0,0,0,72,0,1,0,0,1,1,1,1,1,2,0,0,86.6,6235.2,0
6614-FHDBO,1,0,0,0,72,0,1,1,0,1,1,1,1,1,2,0,0,109.2,7862.400000000001,0
7576-ASEJU,0,0,0,0,41,0,0,0,1,0,0,1,1,1,1,1,1,74.7,3062.7000000000003,0
9058-HRZSV,0,1,0,0,65,0,0,1,1,1,1,0,0,1,0,0,2,94.4,6136.0,0
4522-AKYLR,0,1,0,0,13,0,0,0,0,1,1,0,0,0,0,1,2,54.8,712.4,0
0221-WMXNQ,1,1,0,0,4,0,0,1,1,0,0,0,0,0,0,0,2,75.35,301.4,0
0303-UNCIP,1,0,0,0,41,0,1,0,0,0,1,0,0,1,1,0,3,65.0,2665.0,0
9947-OTFQU,1,1,0,0,15,0,0,1,0,1,0,0,0,0,0,1,2,74.4,1116.0,1
0322-YINQP,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,3,48.55,48.55,1
0959-WHOKV,1,0,0,0,42,0,1,1,1,1,1,0,0,1,1,1,2,99.0,4158.0,0
4075-JFPGR,0,0,0,0,51,0,0,1,1,1,1,0,1,0,1,1,2,93.5,4768.5,0
4629-NRXKX,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,2,70.4,140.8,1
